date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2025-11-22,01:02:08,FRA56-P12,335,138.246.253.24,GET,d89lfgl79d9rp.cloudfront.net,/robots.txt,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/103.0.5060.134%20Safari/537.36,-,-,Error,uJ5B8xXaw9Sc4jIQqSGbOad88Hmr9i4Rd14DUNJl2V7bT5-2VS9vlA\=\=,d89lfgl79d9rp.amplifyapp.com,https,194,0.115,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,37048,0.115,Error,-,0,-,-
2025-11-22,04:59:36,ATL59-P13,216,74.7.244.7,GET,d89lfgl79d9rp.cloudfront.net,/robots.txt,404,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.3;%20robots.txt;%20+https://openai.com/searchbot,-,-,Error,Fcha2VUb-5-gtFJ1wUKt_5n1lPET74bPq6Z9SNtOcrqBer3pJIuwdQ\=\=,d89lfgl79d9rp.amplifyapp.com,https,255,0.043,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,35866,0.043,Error,-,0,-,-
2025-11-22,04:59:37,IAD55-P5,218,74.7.243.223,GET,d89lfgl79d9rp.cloudfront.net,/,404,-,Mozilla/5.0%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko;%20compatible;%20GPTBot/1.3;%20+https://openai.com/gptbot),-,-,Error,AvXdkPWToDQcLwRvOYHNw8xQoxb0FddlN2V5OM28giAdDRPmhXqu0g\=\=,d89lfgl79d9rp.amplifyapp.com,https,174,0.028,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,57084,0.028,Error,-,0,-,-
2025-11-22,11:32:09,ATL59-P14,217,74.7.244.7,GET,d89lfgl79d9rp.cloudfront.net,/robots.txt,404,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.3;%20robots.txt;%20+https://openai.com/searchbot,-,-,Error,kAdT1-iBABWgYpE-k-Sprq9BOLkwndNJW20_6IpwV90kl_SRvxYcMQ\=\=,d89lfgl79d9rp.amplifyapp.com,https,255,0.046,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,46678,0.046,Error,-,0,-,-
2025-11-23,08:08:45,ATL59-P13,219,74.7.244.7,GET,d89lfgl79d9rp.cloudfront.net,/robots.txt,404,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.3;%20robots.txt;%20+https://openai.com/searchbot,-,-,Error,77XYmdI2hX5vfQ6Ul0k669a5BR43u3b9b0hgnAzvPEH15UqPbXdxzA\=\=,d89lfgl79d9rp.amplifyapp.com,https,255,0.073,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,52418,0.073,Error,-,0,-,-
2025-11-24,02:26:59,IAD55-P5,219,74.7.244.7,GET,d89lfgl79d9rp.cloudfront.net,/robots.txt,404,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.3;%20robots.txt;%20+https://openai.com/searchbot,-,-,Error,kKqZfyTfLbOw3j8upDuK9kk0Dm2-hEB6yavTtBHp-ExcPk1QDlKEPA\=\=,d89lfgl79d9rp.amplifyapp.com,https,255,0.035,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,51812,0.035,Error,-,0,-,-
2025-11-24,17:07:27,ORD58-P3,608,199.45.154.135,GET,d89lfgl79d9rp.cloudfront.net,/,301,-,Mozilla/5.0%20\(compatible;%20CensysInspect/1.1;%20+https://about.censys.io/),-,-,Redirect,SBJgkwrsiM3511u-pz0pqZ3stHG8abZ7Pl2wRwXT6zaokirk-OJuiQ\=\=,d89lfgl79d9rp.amplifyapp.com,http,174,0.002,-,-,-,Redirect,HTTP/1.1,-,-,44040,0.002,Redirect,text/html,167,-,-
2025-11-24,17:08:46,ORD58-P3,334,167.94.138.189,GET,d89lfgl79d9rp.cloudfront.net,/,404,-,Mozilla/5.0%20\(compatible;%20CensysInspect/1.1;%20+https://about.censys.io/),-,-,Error,pjF_TsB9MWzAqxKIsA_VDAOXaRHcW_k5Fp5pyn4OP51FU9jTmYlDHg\=\=,d89lfgl79d9rp.amplifyapp.com,https,174,0.023,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,1422,0.023,Error,-,0,-,-
2025-11-25,11:49:47,IAD55-P5,217,74.7.243.223,GET,d89lfgl79d9rp.cloudfront.net,/,404,-,Mozilla/5.0%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko;%20compatible;%20GPTBot/1.3;%20+https://openai.com/gptbot),-,-,Error,-d-Ydh80txP1cwT_d-yxySG8M_xTfS2xapY0VqxDOAUtciFbwnf1zg\=\=,d89lfgl79d9rp.amplifyapp.com,https,174,0.030,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,43458,0.030,Error,-,0,-,-
2025-11-25,11:49:46,IAD55-P5,217,74.7.244.7,GET,d89lfgl79d9rp.cloudfront.net,/robots.txt,404,-,Mozilla/5.0%20\(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/131.0.0.0%20Safari/537.36;%20compatible;%20OAI-SearchBot/1.3;%20robots.txt;%20+https://openai.com/searchbot,-,-,Error,62SJFGlcGsrQF6D4lrlTcWfnv8VDQDjJ1aLsWuiWm0XSNtE-Ba3sTw\=\=,d89lfgl79d9rp.amplifyapp.com,https,255,0.031,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,33084,0.031,Error,-,0,-,-
